Geography,Violations ,2008,2009,2010,2011,2012
"Sherbrooke, Quebec (32,37)",Dangerous operation of motor vehicle evading police,10,8,8,9,11
"Sherbrooke, Quebec (32,37)",Total fail to stop or remain (46),1228,1126,1045,1157,1039
"Sherbrooke, Quebec (32,37)",Driving while prohibited,34,29,30,27,22
"Sherbrooke, Quebec (32,37)",Other Criminal Code traffic violations,0,0,0,1,0
"Sherbrooke, Quebec (32,37)",Causing death by criminal negligence while street racing,,,0,0,0
"Sherbrooke, Quebec (32,37)",Causing bodily harm by criminal negligence while street racing,,,0,0,0
"Sherbrooke, Quebec (32,37)",Dangerous operation causing death while street racing,,,0,0,0
"Sherbrooke, Quebec (32,37)",Dangerous operation causing bodily harm while street racing,,,0,0,0
"Sherbrooke, Quebec (32,37)",Dangerous operation of motor vehicle while street racing,,,1,1,0
"Trois-Rivières, Quebec","Total, all violations",8662,9022,8912,8363,8343
"Trois-Rivières, Quebec",Total Criminal Code traffic violations,762,803,736,781,1438
"Trois-Rivières, Quebec",Total impaired driving (49),550,561,540,501,466
"Trois-Rivières, Quebec","Impaired operation, causing death",0,0,1,1,0
"Trois-Rivières, Quebec","Impaired operation (drugs), causing death",,,0,0,0
"Trois-Rivières, Quebec","Impaired operation, causing bodily harm",8,10,4,5,2
"Trois-Rivières, Quebec","Impaired operation (drugs), causing bodily harm",,,1,0,0
"Trois-Rivières, Quebec","Impaired operation of motor vehicle, vessel or aircraft (51)",536,542,522,488,451
"Trois-Rivières, Quebec","Impaired operation (drugs) vehicle, vessel, aircraft",0,4,8,7,13
"Trois-Rivières, Quebec","Impaired operation, failure to provide breath sample",6,5,4,0,0
"Trois-Rivières, Quebec",Failure to comply or refusal (drugs),,,0,0,0
"Trois-Rivières, Quebec","Impaired operation, failure to provide blood sample",0,0,0,0,0
"Trois-Rivières, Quebec",Failure to provide blood sample (drugs),,,0,0,0
"Trois-Rivières, Quebec",Total other Criminal Code traffic violations,212,242,196,280,972
"Trois-Rivières, Quebec","Dangerous operation, causing death",0,0,0,0,0
"Trois-Rivières, Quebec","Dangerous operation, causing bodily harm",1,1,5,2,4
"Trois-Rivières, Quebec","Dangerous operation of motor vehicle, vessel or aircraft",28,21,15,20,23
"Trois-Rivières, Quebec","Dangerous operation evading police, causing death",0,0,0,0,0
"Trois-Rivières, Quebec","Dangerous operation evading police, causing bodily harm",0,1,0,0,0
"Trois-Rivières, Quebec",Dangerous operation of motor vehicle evading police,20,16,14,12,11
"Trois-Rivières, Quebec",Total fail to stop or remain (46),140,156,133,219,910
"Trois-Rivières, Quebec",Driving while prohibited,21,46,29,26,24
"Trois-Rivières, Quebec",Other Criminal Code traffic violations,1,1,0,0,0
"Trois-Rivières, Quebec",Causing death by criminal negligence while street racing,,,0,0,0
"Trois-Rivières, Quebec",Causing bodily harm by criminal negligence while street racing,,,0,0,0
"Trois-Rivières, Quebec",Dangerous operation causing death while street racing,,,0,0,0
"Trois-Rivières, Quebec",Dangerous operation causing bodily harm while street racing,1,0,0,0,0
"Trois-Rivières, Quebec",Dangerous operation of motor vehicle while street racing,,,0,1,0
"Montréal, Quebec (38,50,53)","Total, all violations",232753,230882,217098,209983,203035
"Montréal, Quebec (38,50,53)",Total Criminal Code traffic violations,14541,14341,13538,14147,14300
"Montréal, Quebec (38,50,53)",Total impaired driving (49),5779,5857,5700,5913,6008
"Montréal, Quebec (38,50,53)","Impaired operation, causing death",8,3,5,7,7
"Montréal, Quebec (38,50,53)","Impaired operation (drugs), causing death",,,1,0,0
"Montréal, Quebec (38,50,53)","Impaired operation, causing bodily harm",105,127,121,133,117
"Montréal, Quebec (38,50,53)","Impaired operation (drugs), causing bodily harm",0,2,3,2,1
"Montréal, Quebec (38,50,53)","Impaired operation of motor vehicle, vessel or aircraft (51)",5428,5398,5363,5699,5773
"Montréal, Quebec (38,50,53)","Impaired operation (drugs) vehicle, vessel, aircraft",1,30,47,52,104
"Montréal, Quebec (38,50,53)","Impaired operation, failure to provide breath sample",229,288,156,20,6
"Montréal, Quebec (38,50,53)",Failure to comply or refusal (drugs),,,3,0,0
"Montréal, Quebec (38,50,53)","Impaired operation, failure to provide blood sample",8,9,1,0,0
"Montréal, Quebec (38,50,53)",Failure to provide blood sample (drugs),,,0,0,0
"Montréal, Quebec (38,50,53)",Total other Criminal Code traffic violations,8762,8484,7838,8234,8292
"Montréal, Quebec (38,50,53)","Dangerous operation, causing death",9,6,5,2,4
"Montréal, Quebec (38,50,53)","Dangerous operation, causing bodily harm",38,54,40,61,41
"Montréal, Quebec (38,50,53)","Dangerous operation of motor vehicle, vessel or aircraft",381,384,348,322,317
"Montréal, Quebec (38,50,53)","Dangerous operation evading police, causing death",1,1,0,0,0
"Montréal, Quebec (38,50,53)","Dangerous operation evading police, causing bodily harm",5,5,4,2,8
"Montréal, Quebec (38,50,53)",Dangerous operation of motor vehicle evading police,227,175,225,247,208
"Montréal, Quebec (38,50,53)",Total fail to stop or remain (46),7569,7370,6785,7108,7274
"Montréal, Quebec (38,50,53)",Driving while prohibited,501,457,414,459,417
"Montréal, Quebec (38,50,53)",Other Criminal Code traffic violations,29,25,12,28,19
"Montréal, Quebec (38,50,53)",Causing death by criminal negligence while street racing,,,1,0,0
"Montréal, Quebec (38,50,53)",Causing bodily harm by criminal negligence while street racing,0,2,0,0,0
"Montréal, Quebec (38,50,53)",Dangerous operation causing death while street racing,0,1,0,0,0
"Montréal, Quebec (38,50,53)",Dangerous operation causing bodily harm while street racing,1,1,0,0,0
"Montréal, Quebec (38,50,53)",Dangerous operation of motor vehicle while street racing,1,3,4,5,4
"Ottawa-Gatineau, Quebec part (6)","Total, all violations",18085,18180,17522,16629,16818
"Ottawa-Gatineau, Quebec part (6)",Total Criminal Code traffic violations,793,858,848,840,917
"Ottawa-Gatineau, Quebec part (6)",Total impaired driving (49),616,678,667,652,710
"Ottawa-Gatineau, Quebec part (6)","Impaired operation, causing death",0,0,2,0,0
"Ottawa-Gatineau, Quebec part (6)","Impaired operation (drugs), causing death",,,0,0,0
"Ottawa-Gatineau, Quebec part (6)","Impaired operation, causing bodily harm",9,7,10,5,4
"Ottawa-Gatineau, Quebec part (6)","Impaired operation (drugs), causing bodily harm",1,0,0,0,0
"Ottawa-Gatineau, Quebec part (6)","Impaired operation of motor vehicle, vessel or aircraft (51)",557,600,586,554,610
"Ottawa-Gatineau, Quebec part (6)","Impaired operation (drugs) vehicle, vessel, aircraft",1,18,23,26,36
"Ottawa-Gatineau, Quebec part (6)","Impaired operation, failure to provide breath sample",46,52,45,67,58
"Ottawa-Gatineau, Quebec part (6)",Failure to comply or refusal (drugs),,,0,0,1
"Ottawa-Gatineau, Quebec part (6)","Impaired operation, failure to provide blood sample",2,0,0,0,1
"Ottawa-Gatineau, Quebec part (6)",Failure to provide blood sample (drugs),0,1,1,0,0
"Ottawa-Gatineau, Quebec part (6)",Total other Criminal Code traffic violations,177,180,181,188,207
"Ottawa-Gatineau, Quebec part (6)","Dangerous operation, causing death",1,0,2,0,0
"Ottawa-Gatineau, Quebec part (6)","Dangerous operation, causing bodily harm",0,2,3,3,2
"Ottawa-Gatineau, Quebec part (6)","Dangerous operation of motor vehicle, vessel or aircraft",46,52,43,39,46
"Ottawa-Gatineau, Quebec part (6)","Dangerous operation evading police, causing death",0,0,0,0,0
"Ottawa-Gatineau, Quebec part (6)","Dangerous operation evading police, causing bodily harm",0,4,2,0,0
"Ottawa-Gatineau, Quebec part (6)",Dangerous operation of motor vehicle evading police,30,35,29,40,31
"Ottawa-Gatineau, Quebec part (6)",Total fail to stop or remain (46),49,39,39,26,38
"Ottawa-Gatineau, Quebec part (6)",Driving while prohibited,51,47,62,79,89
"Ottawa-Gatineau, Quebec part (6)",Other Criminal Code traffic violations,0,1,1,0,0
"Ottawa-Gatineau, Quebec part (6)",Causing death by criminal negligence while street racing,,,0,0,0
"Ottawa-Gatineau, Quebec part (6)",Causing bodily harm by criminal negligence while street racing,,,0,0,0
"Ottawa-Gatineau, Quebec part (6)",Dangerous operation causing death while street racing,,,0,0,0
"Ottawa-Gatineau, Quebec part (6)",Dangerous operation causing bodily harm while street racing,,,0,0,0
"Ottawa-Gatineau, Quebec part (6)",Dangerous operation of motor vehicle while street racing,,,0,1,1
Ontario (7),"Total, all violations",705715,690180,666393,636172,617265
Ontario (7),Total Criminal Code traffic violations,34108,34184,32821,33014,32185
Ontario (7),Total impaired driving (49),18752,18207,17269,17230,17169
Ontario (7),"Impaired operation, causing death",35,26,26,22,22
Ontario (7),"Impaired operation (drugs), causing death",,,2,1,1
Ontario (7),"Impaired operation, causing bodily harm",128,110,90,99,89
Ontario (7),"Impaired operation (drugs), causing bodily harm",2,1,2,1,3
Ontario (7),"Impaired operation of motor vehicle, vessel or aircraft (51)",17475,16663,15686,15710,15737
Ontario (7),"Impaired operation (drugs) vehicle, vessel, aircraft",84,324,347,322,300
Ontario (7),"Impaired operation, failure to provide breath sample",998,1058,1089,1060,998
Ontario (7),Failure to comply or refusal (drugs),2,6,6,3,8
Ontario (7),"Impaired operation, failure to provide blood sample",28,17,19,10,6
Ontario (7),Failure to provide blood sample (drugs),0,2,2,2,5
Ontario (7),Total other Criminal Code traffic violations,15356,15977,15552,15784,15016
Ontario (7),"Dangerous operation, causing death",26,29,24,22,11
Ontario (7),"Dangerous operation, causing bodily harm",157,140,146,113,133
Ontario (7),"Dangerous operation of motor vehicle, vessel or aircraft",2672,2454,2357,2249,2296
Ontario (7),"Dangerous operation evading police, causing death",1,1,0,0,0
Ontario (7),"Dangerous operation evading police, causing bodily harm",7,9,8,6,7
Ontario (7),Dangerous operation of motor vehicle evading police,606,418,417,370,406
Ontario (7),Total fail to stop or remain (46),10210,11027,10514,10925,10317
Ontario (7),Driving while prohibited,1527,1742,1882,1937,1666
Ontario (7),Other Criminal Code traffic violations,133,129,166,126,141
Ontario (7),Causing death by criminal negligence while street racing,1,0,2,0,0
Ontario (7),Causing bodily harm by criminal negligence while street racing,,,0,1,0
Ontario (7),Dangerous operation causing death while street racing,,,1,0,1
Ontario (7),Dangerous operation causing bodily harm while street racing,2,2,3,0,2
Ontario (7),Dangerous operation of motor vehicle while street racing,14,26,32,35,36
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Total, all violations",66733,65269,62432,60616,60750
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Total Criminal Code traffic violations,3825,3891,3756,3565,3644
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Total impaired driving (49),1598,1583,1589,1475,1532
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Impaired operation, causing death",2,1,5,1,1
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Impaired operation (drugs), causing death",,,0,0,1
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Impaired operation, causing bodily harm",11,15,14,6,9
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Impaired operation (drugs), causing bodily harm",1,0,0,0,0
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Impaired operation of motor vehicle, vessel or aircraft (51)",1406,1352,1360,1243,1293
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Impaired operation (drugs) vehicle, vessel, aircraft",5,37,32,44,51
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Impaired operation, failure to provide breath sample",166,174,171,179,172
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Failure to comply or refusal (drugs),1,2,1,0,3
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Impaired operation, failure to provide blood sample",6,1,5,2,2
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Failure to provide blood sample (drugs),0,1,1,0,0
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Total other Criminal Code traffic violations,2227,2308,2167,2090,2112
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Dangerous operation, causing death",3,0,5,1,0
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Dangerous operation, causing bodily harm",8,12,12,8,8
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Dangerous operation of motor vehicle, vessel or aircraft",172,185,164,146,163
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Dangerous operation evading police, causing death",0,0,0,0,0
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Dangerous operation evading police, causing bodily harm",0,5,3,1,0
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Dangerous operation of motor vehicle evading police,39,48,42,49,39
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Total fail to stop or remain (46),1874,1906,1779,1698,1724
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Driving while prohibited,127,142,155,181,173
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Other Criminal Code traffic violations,3,3,4,0,2
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Causing death by criminal negligence while street racing,,,0,0,0
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Causing bodily harm by criminal negligence while street racing,,,0,0,0
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Dangerous operation causing death while street racing,,,0,0,0
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Dangerous operation causing bodily harm while street racing,,,0,0,0
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Dangerous operation of motor vehicle while street racing,1,7,3,6,3
"Ottawa-Gatineau, Ontario part (6,52)","Total, all violations",48648,47089,44910,43987,43932
"Ottawa-Gatineau, Ontario part (6,52)",Total Criminal Code traffic violations,3032,3033,2908,2725,2727
"Ottawa-Gatineau, Ontario part (6,52)",Total impaired driving (49),982,905,922,823,822
"Ottawa-Gatineau, Ontario part (6,52)","Impaired operation, causing death",2,1,3,1,1
"Ottawa-Gatineau, Ontario part (6,52)","Impaired operation (drugs), causing death",,,0,0,1
"Ottawa-Gatineau, Ontario part (6,52)","Impaired operation, causing bodily harm",2,8,4,1,5
"Ottawa-Gatineau, Ontario part (6,52)","Impaired operation (drugs), causing bodily harm",,,0,0,0
"Ottawa-Gatineau, Ontario part (6,52)","Impaired operation of motor vehicle, vessel or aircraft (51)",849,752,774,689,683
"Ottawa-Gatineau, Ontario part (6,52)","Impaired operation (drugs) vehicle, vessel, aircraft",4,19,9,18,15
"Ottawa-Gatineau, Ontario part (6,52)","Impaired operation, failure to provide breath sample",120,122,126,112,114
"Ottawa-Gatineau, Ontario part (6,52)",Failure to comply or refusal (drugs),1,2,1,0,2
"Ottawa-Gatineau, Ontario part (6,52)","Impaired operation, failure to provide blood sample",4,1,5,2,1
"Ottawa-Gatineau, Ontario part (6,52)",Failure to provide blood sample (drugs),,,0,0,0
"Ottawa-Gatineau, Ontario part (6,52)",Total other Criminal Code traffic violations,2050,2128,1986,1902,1905
"Ottawa-Gatineau, Ontario part (6,52)","Dangerous operation, causing death",2,0,3,1,0
"Ottawa-Gatineau, Ontario part (6,52)","Dangerous operation, causing bodily harm",8,10,9,5,6
"Ottawa-Gatineau, Ontario part (6,52)","Dangerous operation of motor vehicle, vessel or aircraft",126,133,121,107,117
"Ottawa-Gatineau, Ontario part (6,52)","Dangerous operation evading police, causing death",0,0,0,0,0
"Ottawa-Gatineau, Ontario part (6,52)","Dangerous operation evading police, causing bodily harm",0,1,1,1,0
"Ottawa-Gatineau, Ontario part (6,52)",Dangerous operation of motor vehicle evading police,9,13,13,9,8
"Ottawa-Gatineau, Ontario part (6,52)",Total fail to stop or remain (46),1825,1867,1740,1672,1686
"Ottawa-Gatineau, Ontario part (6,52)",Driving while prohibited,76,95,93,102,84
"Ottawa-Gatineau, Ontario part (6,52)",Other Criminal Code traffic violations,3,2,3,0,2
"Ottawa-Gatineau, Ontario part (6,52)",Causing death by criminal negligence while street racing,,,0,0,0
"Ottawa-Gatineau, Ontario part (6,52)",Causing bodily harm by criminal negligence while street racing,,,0,0,0
"Ottawa-Gatineau, Ontario part (6,52)",Dangerous operation causing death while street racing,,,0,0,0
"Ottawa-Gatineau, Ontario part (6,52)",Dangerous operation causing bodily harm while street racing,,,0,0,0
"Ottawa-Gatineau, Ontario part (6,52)",Dangerous operation of motor vehicle while street racing,1,7,3,5,2
"Kingston, Ontario (8)","Total, all violations",9526,8691,8686,8651,8968
"Kingston, Ontario (8)",Total Criminal Code traffic violations,212,217,159,238,248
"Kingston, Ontario (8)",Total impaired driving (49),151,155,104,153,121
"Kingston, Ontario (8)","Impaired operation, causing death",0,0,0,0,0
"Kingston, Ontario (8)","Impaired operation (drugs), causing death",,,0,0,0
"Kingston, Ontario (8)","Impaired operation, causing bodily harm",2,0,0,1,0
"Kingston, Ontario (8)","Impaired operation (drugs), causing bodily harm",,,0,0,0
"Kingston, Ontario (8)","Impaired operation of motor vehicle, vessel or aircraft (51)",145,146,102,146,110
"Kingston, Ontario (8)","Impaired operation (drugs) vehicle, vessel, aircraft",,,1,2,6
"Kingston, Ontario (8)","Impaired operation, failure to provide breath sample",4,7,1,4,3
"Kingston, Ontario (8)",Failure to comply or refusal (drugs),,,0,0,2
"Kingston, Ontario (8)","Impaired operation, failure to provide blood sample",0,2,0,0,0
"Kingston, Ontario (8)",Failure to provide blood sample (drugs),,,0,0,0
"Kingston, Ontario (8)",Total other Criminal Code traffic violations,61,62,55,85,127
"Kingston, Ontario (8)","Dangerous operation, causing death",1,0,0,0,0
"Kingston, Ontario (8)","Dangerous operation, causing bodily harm",0,1,1,2,0
"Kingston, Ontario (8)","Dangerous operation of motor vehicle, vessel or aircraft",23,28,23,14,27
"Kingston, Ontario (8)","Dangerous operation evading police, causing death",0,0,0,0,0
"Kingston, Ontario (8)","Dangerous operation evading police, causing bodily harm",0,0,0,0,0
"Kingston, Ontario (8)",Dangerous operation of motor vehicle evading police,7,1,1,2,1
"Kingston, Ontario (8)",Total fail to stop or remain (46),6,9,7,46,51
"Kingston, Ontario (8)",Driving while prohibited,22,21,20,17,47
"Kingston, Ontario (8)",Other Criminal Code traffic violations,2,1,2,4,1
"Kingston, Ontario (8)",Causing death by criminal negligence while street racing,,,0,0,0
"Kingston, Ontario (8)",Causing bodily harm by criminal negligence while street racing,,,0,0,0
"Kingston, Ontario (8)",Dangerous operation causing death while street racing,,,0,0,0
"Kingston, Ontario (8)",Dangerous operation causing bodily harm while street racing,,,0,0,0
"Kingston, Ontario (8)",Dangerous operation of motor vehicle while street racing,0,1,1,0,0
"Peterborough, Ontario (8)","Total, all violations",7049,6921,6571,6280,6345
"Peterborough, Ontario (8)",Total Criminal Code traffic violations,271,275,283,335,367
"Peterborough, Ontario (8)",Total impaired driving (49),207,217,227,266,287
"Peterborough, Ontario (8)","Impaired operation, causing death",,1,0,0,0
"Peterborough, Ontario (8)","Impaired operation (drugs), causing death",,,0,0,0
"Peterborough, Ontario (8)","Impaired operation, causing bodily harm",0,1,0,2,0
"Peterborough, Ontario (8)","Impaired operation (drugs), causing bodily harm",,,0,0,0
"Peterborough, Ontario (8)","Impaired operation of motor vehicle, vessel or aircraft (51)",193,200,200,246,271
"Peterborough, Ontario (8)","Impaired operation (drugs) vehicle, vessel, aircraft",5,11,17,14,8
"Peterborough, Ontario (8)","Impaired operation, failure to provide breath sample",9,4,10,4,8
"Peterborough, Ontario (8)",Failure to comply or refusal (drugs),,,0,0,0
"Peterborough, Ontario (8)","Impaired operation, failure to provide blood sample",0,0,0,0,0
"Peterborough, Ontario (8)",Failure to provide blood sample (drugs),,,0,0,0
"Peterborough, Ontario (8)",Total other Criminal Code traffic violations,64,58,56,69,80
"Peterborough, Ontario (8)","Dangerous operation, causing death",,,0,0,0
"Peterborough, Ontario (8)","Dangerous operation, causing bodily harm",0,2,0,1,1
"Peterborough, Ontario (8)","Dangerous operation of motor vehicle, vessel or aircraft",28,22,20,19,25
"Peterborough, Ontario (8)","Dangerous operation evading police, causing death",,,0,0,0
"Peterborough, Ontario (8)","Dangerous operation evading police, causing bodily harm",0,0,0,0,0
"Peterborough, Ontario (8)",Dangerous operation of motor vehicle evading police,9,4,3,3,3
"Peterborough, Ontario (8)",Total fail to stop or remain (46),4,7,5,2,1
"Peterborough, Ontario (8)",Driving while prohibited,21,21,28,40,47
"Peterborough, Ontario (8)",Other Criminal Code traffic violations,1,2,0,4,3
"Peterborough, Ontario (8)",Causing death by criminal negligence while street racing,,,0,0,0
"Peterborough, Ontario (8)",Causing bodily harm by criminal negligence while street racing,,,0,0,0
"Peterborough, Ontario (8)",Dangerous operation causing death while street racing,,,0,0,0
"Peterborough, Ontario (8)",Dangerous operation causing bodily harm while street racing,,,0,0,0
"Peterborough, Ontario (8)",Dangerous operation of motor vehicle while street racing,1,0,0,0,0
"Toronto, Ontario (33)","Total, all violations",245400,237511,228905,222788,210979
"Toronto, Ontario (33)",Total Criminal Code traffic violations,12305,12917,12675,13480,12934
"Toronto, Ontario (33)",Total impaired driving (49),6121,5681,5592,5922,5851
"Toronto, Ontario (33)","Impaired operation, causing death",10,10,5,2,6
"Toronto, Ontario (33)","Impaired operation (drugs), causing death",,,0,1,0
"Toronto, Ontario (33)","Impaired operation, causing bodily harm",35,33,23,23,22
"Toronto, Ontario (33)","Impaired operation (drugs), causing bodily harm",1,1,0,1,0
"Toronto, Ontario (33)","Impaired operation of motor vehicle, vessel or aircraft (51)",5619,5114,5006,5351,5337
"Toronto, Ontario (33)","Impaired operation (drugs) vehicle, vessel, aircraft",30,74,97,90,91
"Toronto, Ontario (33)","Impaired operation, failure to provide breath sample",419,445,457,451,395
"Toronto, Ontario (33)",Failure to comply or refusal (drugs),1,0,2,0,0
"Toronto, Ontario (33)","Impaired operation, failure to provide blood sample",6,4,0,3,0
"Toronto, Ontario (33)",Failure to provide blood sample (drugs),,,2,0,0
"Toronto, Ontario (33)",Total other Criminal Code traffic violations,6184,7236,7083,7558,7083
"Toronto, Ontario (33)","Dangerous operation, causing death",16,14,10,8,6
"Toronto, Ontario (33)","Dangerous operation, causing bodily harm",62,47,52,39,54
"Toronto, Ontario (33)","Dangerous operation of motor vehicle, vessel or aircraft",1062,997,1003,958,929
"Toronto, Ontario (33)","Dangerous operation evading police, causing death",0,0,0,0,0
"Toronto, Ontario (33)","Dangerous operation evading police, causing bodily harm",1,4,3,1,0
"Toronto, Ontario (33)",Dangerous operation of motor vehicle evading police,120,104,106,111,124
"Toronto, Ontario (33)",Total fail to stop or remain (46),4559,5630,5462,5968,5561
"Toronto, Ontario (33)",Driving while prohibited,351,423,436,458,401
"Toronto, Ontario (33)",Other Criminal Code traffic violations,6,9,3,6,4
"Toronto, Ontario (33)",Causing death by criminal negligence while street racing,1,0,1,0,0
"Toronto, Ontario (33)",Causing bodily harm by criminal negligence while street racing,,,0,0,0
"Toronto, Ontario (33)",Dangerous operation causing death while street racing,,,0,0,0
"Toronto, Ontario (33)",Dangerous operation causing bodily harm while street racing,2,1,2,0,1
"Toronto, Ontario (33)",Dangerous operation of motor vehicle while street racing,4,7,5,9,3
"Hamilton, Ontario (33)","Total, all violations",41174,40156,39888,37827,35573
"Hamilton, Ontario (33)",Total Criminal Code traffic violations,1874,2003,1844,1897,1750
"Hamilton, Ontario (33)",Total impaired driving (49),868,912,835,824,813
"Hamilton, Ontario (33)","Impaired operation, causing death",1,0,1,4,1
"Hamilton, Ontario (33)","Impaired operation (drugs), causing death",,,0,0,0
"Hamilton, Ontario (33)","Impaired operation, causing bodily harm",10,3,3,5,5
"Hamilton, Ontario (33)","Impaired operation (drugs), causing bodily harm",,,0,0,0
"Hamilton, Ontario (33)","Impaired operation of motor vehicle, vessel or aircraft (51)",802,840,778,774,755
"Hamilton, Ontario (33)","Impaired operation (drugs) vehicle, vessel, aircraft",1,10,7,9,13
"Hamilton, Ontario (33)","Impaired operation, failure to provide breath sample",52,59,46,31,39
"Hamilton, Ontario (33)",Failure to comply or refusal (drugs),,,0,1,0
"Hamilton, Ontario (33)","Impaired operation, failure to provide blood sample",2,0,0,0,0
"Hamilton, Ontario (33)",Failure to provide blood sample (drugs),,,0,0,0
"Hamilton, Ontario (33)",Total other Criminal Code traffic violations,1006,1091,1009,1073,937
"Hamilton, Ontario (33)","Dangerous operation, causing death",0,1,2,0,0
"Hamilton, Ontario (33)","Dangerous operation, causing bodily harm",14,7,7,3,4
"Hamilton, Ontario (33)","Dangerous operation of motor vehicle, vessel or aircraft",113,112,93,98,122
"Hamilton, Ontario (33)","Dangerous operation evading police, causing death",0,1,0,0,0
"Hamilton, Ontario (33)","Dangerous operation evading police, causing bodily harm",1,0,1,0,1
"Hamilton, Ontario (33)",Dangerous operation of motor vehicle evading police,33,25,26,11,21
"Hamilton, Ontario (33)",Total fail to stop or remain (46),776,850,801,848,717
"Hamilton, Ontario (33)",Driving while prohibited,67,94,78,112,71
"Hamilton, Ontario (33)",Other Criminal Code traffic violations,0,1,0,0,0
"Hamilton, Ontario (33)",Causing death by criminal negligence while street racing,,,0,0,0
"Hamilton, Ontario (33)",Causing bodily harm by criminal negligence while street racing,,,0,0,0
"Hamilton, Ontario (33)",Dangerous operation causing death while street racing,,,0,0,0
"Hamilton, Ontario (33)",Dangerous operation causing bodily harm while street racing,,,0,0,0
"Hamilton, Ontario (33)",Dangerous operation of motor vehicle while street racing,2,0,1,1,1
"St.Catharines-Niagara, Ontario","Total, all violations",27279,25932,24853,22005,22519
"St.Catharines-Niagara, Ontario",Total Criminal Code traffic violations,1647,1648,1788,1649,1523
"St.Catharines-Niagara, Ontario",Total impaired driving (49),547,737,732,701,660
"St.Catharines-Niagara, Ontario","Impaired operation, causing death",1,0,3,1,0
"St.Catharines-Niagara, Ontario","Impaired operation (drugs), causing death",,,0,0,0
"St.Catharines-Niagara, Ontario","Impaired operation, causing bodily harm",6,5,2,7,6
"St.Catharines-Niagara, Ontario","Impaired operation (drugs), causing bodily harm",,,0,0,0
"St.Catharines-Niagara, Ontario","Impaired operation of motor vehicle, vessel or aircraft (51)",520,701,689,663,619
"St.Catharines-Niagara, Ontario","Impaired operation (drugs) vehicle, vessel, aircraft",0,1,2,1,3
"St.Catharines-Niagara, Ontario","Impaired operation, failure to provide breath sample",18,28,34,28,31
"St.Catharines-Niagara, Ontario",Failure to comply or refusal (drugs),0,2,0,0,1
"St.Catharines-Niagara, Ontario","Impaired operation, failure to provide blood sample",2,0,2,0,0
"St.Catharines-Niagara, Ontario",Failure to provide blood sample (drugs),,,0,1,0
"St.Catharines-Niagara, Ontario",Total other Criminal Code traffic violations,1100,911,1056,948,863
"St.Catharines-Niagara, Ontario","Dangerous operation, causing death",0,4,1,0,1
"St.Catharines-Niagara, Ontario","Dangerous operation, causing bodily harm",4,3,2,3,4
"St.Catharines-Niagara, Ontario","Dangerous operation of motor vehicle, vessel or aircraft",78,76,64,67,50
"St.Catharines-Niagara, Ontario","Dangerous operation evading police, causing death",0,0,0,0,0
"St.Catharines-Niagara, Ontario","Dangerous operation evading police, causing bodily harm",1,0,0,0,0
"St.Catharines-Niagara, Ontario",Dangerous operation of motor vehicle evading police,23,25,30,17,26
"St.Catharines-Niagara, Ontario",Total fail to stop or remain (46),939,732,870,767,689
"St.Catharines-Niagara, Ontario",Driving while prohibited,53,64,87,89,88
"St.Catharines-Niagara, Ontario",Other Criminal Code traffic violations,2,6,2,4,5
"St.Catharines-Niagara, Ontario",Causing death by criminal negligence while street racing,,,0,0,0
"St.Catharines-Niagara, Ontario",Causing bodily harm by criminal negligence while street racing,,,0,0,0
"St.Catharines-Niagara, Ontario",Dangerous operation causing death while street racing,,,0,0,0
"St.Catharines-Niagara, Ontario",Dangerous operation causing bodily harm while street racing,,,0,0,0
"St.Catharines-Niagara, Ontario",Dangerous operation of motor vehicle while street racing,0,1,0,1,0
"Kitchener-Cambridge-Waterloo, Ontario","Total, all violations",28962,31047,29040,27836,27069
"Kitchener-Cambridge-Waterloo, Ontario",Total Criminal Code traffic violations,992,951,959,1003,915
"Kitchener-Cambridge-Waterloo, Ontario",Total impaired driving (49),750,704,670,685,630
